liga,homeTeam,awayTeam,date,predection
Lb,Al Ahed Beirut,Al Bourj Beirut,12/2/2023 15:00,1X
De5,Germania Ratingen,Schwarz-Weiß Essen,12/2/2023 15:00,12
Fr5,Stade Beaucairois,Union Saint-Jean,12/2/2023 15:00,1X
Be3,KVK Tienen,Visé,12/2/2023 15:00,2X
Cm1,Feutcheu FC,Canon Yaoundé,12/2/2023 15:30,X1
It4,Martina Franca,Barletta Calcio,12/2/2023 15:30,2X
Gh1,King Faisal Babes,Real Tamale United,12/2/2023 16:00,12
Cm1,Aigle Royal,Colombe FC,12/2/2023 16:00,21
Lu1,Etzella Ettelbruck,FC Mondercange,12/2/2023 16:00,1X
Pt3,Leça FC,FC Alpendorada,12/2/2023 16:00,21
Pt3,GD Bragança,Desportivo Monção,12/2/2023 16:00,X1
Pt3,Fabril Barreiro,Rabo de Peixe,12/2/2023 16:00,21
Pt3,GD O Coruchense,SU Sintrense,12/2/2023 16:00,X2
